Daniel Jozwiak|Maybe 5. Others I think ur just ducking down. Still awesome ride.|2021-03-26 19:27:53.476711
Dustin Montalvo|7. So how many miles is that bike gonna have when u give it away lol|2021-03-26 19:27:53.476711
Aaron Printup|6 I think|2021-03-26 19:27:53.955178
Ahlijah Wolfe|7!|2021-04-26 19:27:53.955178
Mike Allen|You popped 8 maybe 9 if you count your tire coming an inch off the ground a wheelie lmao #Brrraaappppp!!|2021-03-26 19:27:53.955178
Gabriela Barragan|The wait is killing me ğŸ˜†|2021-04-26 19:27:53.955178
Savoy Sosa|So did y'all announce the RR winner cuz I got and email tell me to stay posted an still waiting on my package ğŸ™„ğŸ§ğŸ¤¦ğŸ¤¦|2021-04-26 19:27:54.232099
Logan Chester Tenney|My fav number 8!!!! Itâ€™s meant to be!!!! My dream bike!!!!! Good luck to all!!!!|2021-03-26 19:27:54.509510
Zach Kinion|I counted 9|2021-04-26 19:27:54.525244
Michael Morris|5 for the s1k and 1 and a half for the h2. ğŸ¤£ğŸ˜‚|2021-03-26 19:27:54.525244
Will Benefield|Sick ride! I counted 4 wheelies, Derrekâ€™s baby wheelie, and Ryanâ€™s 3rd gear pull that lifted the nose a bit. ğŸ˜‚|2021-04-26 19:27:54.540822
Alexis Mendoza|"I'll go with the h2 all day
Here we go ğŸ¤ğŸ¤"|2021-05-26 14:27:54.540822
Brittany Santor|Go big or go home Iâ€™m saying 10|2021-03-26 19:27:54.540822
Joe Kenny|Whe won the S1KRR?|2021-04-26 19:27:54.557063
Huey Uchiha|7 ğŸ˜… idk but that H2! Haha looks sooo nice!|2021-03-26 19:27:54.825083
Jason Pfeffer|I could only remember 3|2021-04-26 19:27:54.825083
Bikal Thapa|need help to get my self a action camera to start moto vlogging ğŸ˜¢|2021-05-27 00:00:00
Cachae Finnearty-Cuadra|6.. cruise control would be a dream..|2021-04-26 19:27:54.825083
Jakob Hall|At least 2|2021-05-19 19:27:54.840944
Gabriela Barragan|Gabriela Barragan|2021-04-26 19:27:54.849013
Garrett Smith|6 between both riders maybe a 7th time but couldn't tell, it might have came up an inch or 2|2021-03-26 19:27:55.141040
David Matthew|6|2021-04-26 19:27:55.141040
Adrian Navarro|6|2021-03-26 19:27:55.141040
Courtney Crick|9|2021-03-26 19:27:55.141040
Elexus Gonzalez|Austria Smith|2021-05-12 19:27:55.158629
Taj Burchell|8|2021-03-26 19:27:55.162767
Bryan Rush|Zero|2021-04-26 19:27:55.166928
Tyler T Thomas|13|2021-03-26 19:27:55.166928
Chris Donelson|16|2021-03-26 19:27:55.166928
Ralph Allen|4|2021-03-26 19:27:55.166928
Joshua Day|7|2021-04-26 19:27:55.449119
Salyna Smith|9|2021-04-26 19:27:55.455726
Gabriela Barragan|Gabriela Barragan|2021-04-26 19:27:55.455726
Isaac Morales|5|2021-03-26 19:27:55.455726
Ra Ha|8|2021-03-26 19:27:55.455726
Joseph Kohn|8|2021-04-26 19:27:55.471396
Mark Festa|3|2021-04-26 19:27:55.471396
Rolando Mota|17|2021-04-26 19:27:55.471396
Adam Cardinal|10|2021-04-26 19:27:55.471396
Maiko Bwiwi Ranta|When was the draw for last one ? Or who one it ?|2021-04-26 19:27:55.471396
James Baker|14|2021-04-26 19:27:55.689810
Gerry Bandelow|Who won #19?|2021-04-26 19:27:55.698969
Dee Bates|1|2021-04-26 19:27:55.907053
Ethan Martin|7|2021-04-26 19:27:55.914183
Lloyd Galla|2|2021-04-26 19:27:55.919931
Jordan Gallemore|when will the store be restocked? been trying to buy the backpack and a snapback cap for awhile... now i need another hang the f up and drive hoodie my other ones getting very churchy.. holes in it. holy. har har har. ty|2021-05-12 19:27:55.923966
Charles Davis|Final answer 6 if you include cur scene from previous beemer|2021-03-26 19:27:56.148256
Charles Davis|5|2021-03-26 19:27:56.164498
La Hazel Rue|All the above|2021-03-26 19:27:56.173062
Gabriela Barragan|"I got this again now from a different page, what are this?
Should we just ignore them and wait for a call, or or they real,"|2021-04-26 19:27:56.185520
Dalton Lantos|13|2021-03-26 19:27:56.462477
Ryan Patterson|9|2021-03-26 19:27:56.470086
Nathan Fry|Allot!! ğŸ‘ğŸ’ªğŸ”¥|2021-03-26 19:27:56.479579
Josh Tussey|5|2021-03-26 19:27:56.488716
Eric Charles Curry|Right hand green side everyday|2021-05-26 15:28:21.760334
Dillan Catrone|Left all day!!! Would be a amazing track bike.|2021-05-26 17:28:22.062270
Steve Dahietl|RIGHT all day man that thing is amazing ğŸ¤©|2021-05-26 12:28:22.075578
Isaac Morales|Just put them behind a curtain and Iâ€™ll pick a curtain and get what I get. ğŸ¤—. Any of them would be a blessing. Or through the keys in a hat ğŸ© even clutch truck ones hehe ğŸ˜œ|2021-05-26 12:28:22.085732
Justin Kannich|I would have to take the Honda.|2021-05-26 12:28:22.091486
Jose Lopez|This is a tough decision but right is fire ğŸ”¥ ğŸ”¥ğŸ”¥|2021-05-26 12:28:22.100877
Denis Bedard|To the right!!!!ğŸ˜®ğŸ˜ğŸ˜ğŸ˜ğŸ™ğŸ™ğŸ™ğŸ™ğŸ¤ğŸ¤ğŸ¤ğŸ¤|2021-05-26 15:28:22.110103
Darvin L Hudson|Left, I can handle the cbr betterâ€¼ï¸|2021-05-26 13:28:22.125878
Justin Thornton|Gotta say left! That thing is beautiful!|2021-05-26 12:28:22.126875
Cristian Abrego|RIGHT! ğŸ¤ğŸ¼|2021-05-26 13:28:22.126875
Shawn HB|Team Kawi all day|2021-05-26 18:28:22.138845
Andy Gonzalez|Itâ€™s choosing to have two seats (left) or just one (right) imma have to go with the left side.|2021-05-26 18:28:22.138845
April Doreen Tuggle|April Doreen Tuggle|2021-05-26 15:28:22.152198
Christian Foriest|LEFTTTTT BABYYYYY|2021-05-26 15:28:22.157169
Christian Busnelli|RIGHT ALL DAY ğŸ’¯|2021-05-26 13:28:22.163827
Tommy Kwapich|Tommy Kwapich|2021-05-26 13:28:22.169226
Steve Yarbrough|Right|2021-05-26 18:53:22.173730
Cameron Banks|Left|2021-05-26 18:28:22.173730
Chew Issa Fatty|Pretty sure I'll just get $1. It's always $1 only ğŸ˜†|2021-05-26 16:28:22.173730
